pairing,game_idx,starter,A_name,B_name,A_symbol,B_symbol,winner_agent,winner_symbol,moves,seconds,sec_per_move
qlearn_vs_minmax@5,1,A,qlearn,minmax@5,X,O,A,X,17,9.406092,0.553300
qlearn_vs_minmax@5,2,B,qlearn,minmax@5,O,X,B,X,25,10.987497,0.439500
qlearn_vs_minmax@5,3,A,qlearn,minmax@5,X,O,B,O,22,10.980505,0.499114
qlearn_vs_minmax@5,4,B,qlearn,minmax@5,O,X,B,X,33,9.724140,0.294671
qlearn_vs_minmax@5,5,A,qlearn,minmax@5,X,O,B,O,16,10.050986,0.628187
qlearn_vs_minmax@5,6,B,qlearn,minmax@5,O,X,B,X,21,9.417405,0.448448
qlearn_vs_minmax@5,7,A,qlearn,minmax@5,X,O,B,O,18,8.635084,0.479727
qlearn_vs_minmax@5,8,B,qlearn,minmax@5,O,X,B,X,31,10.866234,0.350524
qlearn_vs_minmax@5,9,A,qlearn,minmax@5,X,O,A,X,31,11.040077,0.356132
qlearn_vs_minmax@5,10,B,qlearn,minmax@5,O,X,B,X,21,9.738101,0.463719
qlearn_vs_minmax@5,11,A,qlearn,minmax@5,X,O,B,O,22,10.164085,0.462004
qlearn_vs_minmax@5,12,B,qlearn,minmax@5,O,X,B,X,21,10.257586,0.488456
qlearn_vs_minmax@5,13,A,qlearn,minmax@5,X,O,B,O,30,10.730352,0.357678
qlearn_vs_minmax@5,14,B,qlearn,minmax@5,O,X,A,O,32,13.988869,0.437152
qlearn_vs_minmax@5,15,A,qlearn,minmax@5,X,O,B,O,26,13.119410,0.504593
qlearn_vs_minmax@5,16,B,qlearn,minmax@5,O,X,B,X,19,8.717618,0.458822
qlearn_vs_minmax@5,17,A,qlearn,minmax@5,X,O,A,X,25,11.972840,0.478914
qlearn_vs_minmax@5,18,B,qlearn,minmax@5,O,X,B,X,21,9.088139,0.432769
qlearn_vs_minmax@5,19,A,qlearn,minmax@5,X,O,B,O,30,11.170332,0.372344
qlearn_vs_minmax@5,20,B,qlearn,minmax@5,O,X,B,X,21,9.330465,0.444308
qlearn_vs_minmax@5,21,A,qlearn,minmax@5,X,O,B,O,22,11.182328,0.508288
qlearn_vs_minmax@5,22,B,qlearn,minmax@5,O,X,B,X,19,9.699512,0.510501
qlearn_vs_minmax@5,23,A,qlearn,minmax@5,X,O,B,O,26,11.158518,0.429174
qlearn_vs_minmax@5,24,B,qlearn,minmax@5,O,X,B,X,21,11.305520,0.538358
qlearn_vs_minmax@5,25,A,qlearn,minmax@5,X,O,B,O,22,10.960023,0.498183
qlearn_vs_minmax@5,26,B,qlearn,minmax@5,O,X,B,X,21,9.521063,0.453384
qlearn_vs_minmax@5,27,A,qlearn,minmax@5,X,O,B,O,20,8.942459,0.447123
qlearn_vs_minmax@5,28,B,qlearn,minmax@5,O,X,B,X,19,8.807059,0.463529
qlearn_vs_minmax@5,29,A,qlearn,minmax@5,X,O,B,O,20,10.737668,0.536883
qlearn_vs_minmax@5,30,B,qlearn,minmax@5,O,X,B,X,39,10.168841,0.260740
qlearn_vs_minmax@5,31,A,qlearn,minmax@5,X,O,A,X,29,12.171581,0.419710
qlearn_vs_minmax@5,32,B,qlearn,minmax@5,O,X,B,X,19,8.509038,0.447844
qlearn_vs_minmax@5,33,A,qlearn,minmax@5,X,O,B,O,24,11.146984,0.464458
qlearn_vs_minmax@5,34,B,qlearn,minmax@5,O,X,B,X,17,7.980550,0.469444
qlearn_vs_minmax@5,35,A,qlearn,minmax@5,X,O,B,O,28,10.161245,0.362902
qlearn_vs_minmax@5,36,B,qlearn,minmax@5,O,X,B,X,21,9.492937,0.452045
qlearn_vs_minmax@5,37,A,qlearn,minmax@5,X,O,B,O,24,9.864769,0.411032
qlearn_vs_minmax@5,38,B,qlearn,minmax@5,O,X,B,X,17,8.224638,0.483802
qlearn_vs_minmax@5,39,A,qlearn,minmax@5,X,O,B,O,22,9.025940,0.410270
qlearn_vs_minmax@5,40,B,qlearn,minmax@5,O,X,B,X,25,12.248435,0.489937
qlearn_vs_minmax@5,41,A,qlearn,minmax@5,X,O,B,O,18,8.654895,0.480828
qlearn_vs_minmax@5,42,B,qlearn,minmax@5,O,X,B,X,23,9.939952,0.432172
qlearn_vs_minmax@5,43,A,qlearn,minmax@5,X,O,B,O,22,10.813940,0.491543
qlearn_vs_minmax@5,44,B,qlearn,minmax@5,O,X,B,X,27,10.624239,0.393490
qlearn_vs_minmax@5,45,A,qlearn,minmax@5,X,O,B,O,16,8.126832,0.507927
qlearn_vs_minmax@5,46,B,qlearn,minmax@5,O,X,B,X,15,7.305975,0.487065
qlearn_vs_minmax@5,47,A,qlearn,minmax@5,X,O,A,X,21,9.960870,0.474327
qlearn_vs_minmax@5,48,B,qlearn,minmax@5,O,X,B,X,21,9.336579,0.444599
qlearn_vs_minmax@5,49,A,qlearn,minmax@5,X,O,B,O,16,7.903946,0.493997
qlearn_vs_minmax@5,50,B,qlearn,minmax@5,O,X,B,X,17,8.634714,0.507924
qlearn_vs_minmax@5,51,A,qlearn,minmax@5,X,O,B,O,18,8.970199,0.498344
qlearn_vs_minmax@5,52,B,qlearn,minmax@5,O,X,B,X,21,9.748414,0.464210
qlearn_vs_minmax@5,53,A,qlearn,minmax@5,X,O,B,O,26,11.057087,0.425273
qlearn_vs_minmax@5,54,B,qlearn,minmax@5,O,X,B,X,19,11.198730,0.589407
qlearn_vs_minmax@5,55,A,qlearn,minmax@5,X,O,A,X,37,13.307640,0.359666
qlearn_vs_minmax@5,56,B,qlearn,minmax@5,O,X,B,X,23,11.045822,0.480253
qlearn_vs_minmax@5,57,A,qlearn,minmax@5,X,O,B,O,20,9.205570,0.460278
qlearn_vs_minmax@5,58,B,qlearn,minmax@5,O,X,B,X,17,8.060714,0.474160
qlearn_vs_minmax@5,59,A,qlearn,minmax@5,X,O,B,O,24,11.906978,0.496124
qlearn_vs_minmax@5,60,B,qlearn,minmax@5,O,X,A,O,28,11.933521,0.426197
qlearn_vs_minmax@5,61,A,qlearn,minmax@5,X,O,A,X,15,8.532820,0.568855
qlearn_vs_minmax@5,62,B,qlearn,minmax@5,O,X,B,X,21,9.226711,0.439367
qlearn_vs_minmax@5,63,A,qlearn,minmax@5,X,O,B,O,30,9.692939,0.323098
qlearn_vs_minmax@5,64,B,qlearn,minmax@5,O,X,B,X,19,8.549205,0.449958
qlearn_vs_minmax@5,65,A,qlearn,minmax@5,X,O,B,O,20,9.476444,0.473822
qlearn_vs_minmax@5,66,B,qlearn,minmax@5,O,X,B,X,21,9.860345,0.469540
qlearn_vs_minmax@5,67,A,qlearn,minmax@5,X,O,B,O,20,11.276518,0.563826
qlearn_vs_minmax@5,68,B,qlearn,minmax@5,O,X,B,X,21,9.062796,0.431562
qlearn_vs_minmax@5,69,A,qlearn,minmax@5,X,O,B,O,24,9.827951,0.409498
qlearn_vs_minmax@5,70,B,qlearn,minmax@5,O,X,A,O,22,10.137160,0.460780
qlearn_vs_minmax@5,71,A,qlearn,minmax@5,X,O,A,X,21,10.223982,0.486856
qlearn_vs_minmax@5,72,B,qlearn,minmax@5,O,X,B,X,21,9.626655,0.458412
qlearn_vs_minmax@5,73,A,qlearn,minmax@5,X,O,B,O,20,9.474075,0.473704
qlearn_vs_minmax@5,74,B,qlearn,minmax@5,O,X,B,X,21,9.485272,0.451680
qlearn_vs_minmax@5,75,A,qlearn,minmax@5,X,O,B,O,20,9.482880,0.474144
qlearn_vs_minmax@5,76,B,qlearn,minmax@5,O,X,B,X,21,9.364242,0.445916
qlearn_vs_minmax@5,77,A,qlearn,minmax@5,X,O,B,O,18,9.128402,0.507133
qlearn_vs_minmax@5,78,B,qlearn,minmax@5,O,X,B,X,19,9.139333,0.481018
qlearn_vs_minmax@5,79,A,qlearn,minmax@5,X,O,B,O,26,10.450826,0.401955
qlearn_vs_minmax@5,80,B,qlearn,minmax@5,O,X,B,X,19,9.466191,0.498221
qlearn_vs_minmax@5,81,A,qlearn,minmax@5,X,O,B,O,20,9.714081,0.485704
qlearn_vs_minmax@5,82,B,qlearn,minmax@5,O,X,A,O,26,11.747864,0.451841
qlearn_vs_minmax@5,83,A,qlearn,minmax@5,X,O,B,O,18,9.436148,0.524230
qlearn_vs_minmax@5,84,B,qlearn,minmax@5,O,X,B,X,23,11.617917,0.505127
qlearn_vs_minmax@5,85,A,qlearn,minmax@5,X,O,B,O,16,10.309942,0.644371
qlearn_vs_minmax@5,86,B,qlearn,minmax@5,O,X,B,X,25,10.447380,0.417895
qlearn_vs_minmax@5,87,A,qlearn,minmax@5,X,O,A,X,23,10.916630,0.474636
qlearn_vs_minmax@5,88,B,qlearn,minmax@5,O,X,B,X,21,8.778705,0.418034
qlearn_vs_minmax@5,89,A,qlearn,minmax@5,X,O,B,O,26,10.554462,0.405941
qlearn_vs_minmax@5,90,B,qlearn,minmax@5,O,X,A,O,20,8.635410,0.431770
qlearn_vs_minmax@5,91,A,qlearn,minmax@5,X,O,B,O,18,8.541485,0.474527
qlearn_vs_minmax@5,92,B,qlearn,minmax@5,O,X,B,X,17,8.365098,0.492065
qlearn_vs_minmax@5,93,A,qlearn,minmax@5,X,O,B,O,24,10.406126,0.433589
qlearn_vs_minmax@5,94,B,qlearn,minmax@5,O,X,A,O,34,10.512637,0.309195
qlearn_vs_minmax@5,95,A,qlearn,minmax@5,X,O,A,X,29,10.298230,0.355111
qlearn_vs_minmax@5,96,B,qlearn,minmax@5,O,X,B,X,31,11.628082,0.375099
qlearn_vs_minmax@5,97,A,qlearn,minmax@5,X,O,A,X,21,10.842285,0.516299
qlearn_vs_minmax@5,98,B,qlearn,minmax@5,O,X,A,O,24,11.530117,0.480422
qlearn_vs_minmax@5,99,A,qlearn,minmax@5,X,O,B,O,18,10.898791,0.605488
qlearn_vs_minmax@5,100,B,qlearn,minmax@5,O,X,A,O,26,10.086873,0.387957
qlearn_vs_minmax@5,101,A,qlearn,minmax@5,X,O,B,O,22,10.276528,0.467115
qlearn_vs_minmax@5,102,B,qlearn,minmax@5,O,X,B,X,19,8.789093,0.462584
qlearn_vs_minmax@5,103,A,qlearn,minmax@5,X,O,A,X,23,9.541847,0.414863
qlearn_vs_minmax@5,104,B,qlearn,minmax@5,O,X,B,X,25,12.105776,0.484231
qlearn_vs_minmax@5,105,A,qlearn,minmax@5,X,O,B,O,42,12.556004,0.298952
qlearn_vs_minmax@5,106,B,qlearn,minmax@5,O,X,B,X,19,8.763213,0.461222
qlearn_vs_minmax@5,107,A,qlearn,minmax@5,X,O,B,O,30,10.591931,0.353064
qlearn_vs_minmax@5,108,B,qlearn,minmax@5,O,X,A,O,26,13.143936,0.505536
qlearn_vs_minmax@5,109,A,qlearn,minmax@5,X,O,A,X,15,8.551747,0.570116
qlearn_vs_minmax@5,110,B,qlearn,minmax@5,O,X,B,X,17,7.403518,0.435501
qlearn_vs_minmax@5,111,A,qlearn,minmax@5,X,O,A,X,27,10.541055,0.390409
qlearn_vs_minmax@5,112,B,qlearn,minmax@5,O,X,B,X,21,9.219596,0.439028
qlearn_vs_minmax@5,113,A,qlearn,minmax@5,X,O,B,O,22,11.557785,0.525354
qlearn_vs_minmax@5,114,B,qlearn,minmax@5,O,X,B,X,19,8.829060,0.464687
qlearn_vs_minmax@5,115,A,qlearn,minmax@5,X,O,B,O,16,10.112030,0.632002
qlearn_vs_minmax@5,116,B,qlearn,minmax@5,O,X,B,X,19,9.070730,0.477407
qlearn_vs_minmax@5,117,A,qlearn,minmax@5,X,O,B,O,20,9.637570,0.481879
qlearn_vs_minmax@5,118,B,qlearn,minmax@5,O,X,A,O,30,11.632178,0.387739
qlearn_vs_minmax@5,119,A,qlearn,minmax@5,X,O,B,O,22,11.717820,0.532628
qlearn_vs_minmax@5,120,B,qlearn,minmax@5,O,X,B,X,29,12.214623,0.421194
qlearn_vs_minmax@5,121,A,qlearn,minmax@5,X,O,B,O,22,10.795715,0.490714
qlearn_vs_minmax@5,122,B,qlearn,minmax@5,O,X,B,X,29,9.996051,0.344691
qlearn_vs_minmax@5,123,A,qlearn,minmax@5,X,O,A,X,29,12.157794,0.419234
qlearn_vs_minmax@5,124,B,qlearn,minmax@5,O,X,A,O,22,9.938327,0.451742
qlearn_vs_minmax@5,125,A,qlearn,minmax@5,X,O,B,O,24,11.222134,0.467589
qlearn_vs_minmax@5,126,B,qlearn,minmax@5,O,X,B,X,21,9.135675,0.435032
qlearn_vs_minmax@5,127,A,qlearn,minmax@5,X,O,A,X,15,7.613709,0.507581
qlearn_vs_minmax@5,128,B,qlearn,minmax@5,O,X,B,X,19,11.676556,0.614556
qlearn_vs_minmax@5,129,A,qlearn,minmax@5,X,O,B,O,16,8.537556,0.533597
qlearn_vs_minmax@5,130,B,qlearn,minmax@5,O,X,B,X,37,14.332494,0.387365
qlearn_vs_minmax@5,131,A,qlearn,minmax@5,X,O,B,O,16,8.194015,0.512126
qlearn_vs_minmax@5,132,B,qlearn,minmax@5,O,X,B,X,29,10.800345,0.372426
qlearn_vs_minmax@5,133,A,qlearn,minmax@5,X,O,B,O,20,10.704926,0.535246
qlearn_vs_minmax@5,134,B,qlearn,minmax@5,O,X,B,X,33,10.913076,0.330699
qlearn_vs_minmax@5,135,A,qlearn,minmax@5,X,O,B,O,20,9.465453,0.473273
qlearn_vs_minmax@5,136,B,qlearn,minmax@5,O,X,B,X,25,10.146630,0.405865
qlearn_vs_minmax@5,137,A,qlearn,minmax@5,X,O,A,X,21,8.723725,0.415415
qlearn_vs_minmax@5,138,B,qlearn,minmax@5,O,X,B,X,27,11.594242,0.429416
qlearn_vs_minmax@5,139,A,qlearn,minmax@5,X,O,A,X,13,7.692152,0.591704
qlearn_vs_minmax@5,140,B,qlearn,minmax@5,O,X,A,O,20,9.165697,0.458285
qlearn_vs_minmax@5,141,A,qlearn,minmax@5,X,O,B,O,18,10.976738,0.609819
qlearn_vs_minmax@5,142,B,qlearn,minmax@5,O,X,B,X,23,10.143728,0.441032
qlearn_vs_minmax@5,143,A,qlearn,minmax@5,X,O,A,X,19,11.274274,0.593383
qlearn_vs_minmax@5,144,B,qlearn,minmax@5,O,X,A,O,22,9.260923,0.420951
qlearn_vs_minmax@5,145,A,qlearn,minmax@5,X,O,B,O,18,8.667651,0.481536
qlearn_vs_minmax@5,146,B,qlearn,minmax@5,O,X,B,X,25,11.253472,0.450139
qlearn_vs_minmax@5,147,A,qlearn,minmax@5,X,O,B,O,28,11.515356,0.411263
qlearn_vs_minmax@5,148,B,qlearn,minmax@5,O,X,B,X,25,11.568771,0.462751
qlearn_vs_minmax@5,149,A,qlearn,minmax@5,X,O,B,O,18,9.139236,0.507735
qlearn_vs_minmax@5,150,B,qlearn,minmax@5,O,X,B,X,25,10.864147,0.434566
qlearn_vs_minmax@5,151,A,qlearn,minmax@5,X,O,B,O,28,9.306207,0.332365
qlearn_vs_minmax@5,152,B,qlearn,minmax@5,O,X,B,X,21,8.939994,0.425714
qlearn_vs_minmax@5,153,A,qlearn,minmax@5,X,O,B,O,20,10.097651,0.504883
qlearn_vs_minmax@5,154,B,qlearn,minmax@5,O,X,B,X,21,9.416322,0.448396
qlearn_vs_minmax@5,155,A,qlearn,minmax@5,X,O,B,O,22,10.586674,0.481212
qlearn_vs_minmax@5,156,B,qlearn,minmax@5,O,X,B,X,19,8.418854,0.443098
qlearn_vs_minmax@5,157,A,qlearn,minmax@5,X,O,B,O,18,9.094534,0.505252
qlearn_vs_minmax@5,158,B,qlearn,minmax@5,O,X,A,O,24,10.097861,0.420744
qlearn_vs_minmax@5,159,A,qlearn,minmax@5,X,O,A,X,19,10.632397,0.559600
qlearn_vs_minmax@5,160,B,qlearn,minmax@5,O,X,B,X,29,10.111366,0.348668
qlearn_vs_minmax@5,161,A,qlearn,minmax@5,X,O,B,O,22,11.380149,0.517280
qlearn_vs_minmax@5,162,B,qlearn,minmax@5,O,X,A,O,20,9.843130,0.492157
qlearn_vs_minmax@5,163,A,qlearn,minmax@5,X,O,B,O,18,8.387948,0.465997
qlearn_vs_minmax@5,164,B,qlearn,minmax@5,O,X,B,X,19,8.606527,0.452975
qlearn_vs_minmax@5,165,A,qlearn,minmax@5,X,O,B,O,20,9.156760,0.457838
qlearn_vs_minmax@5,166,B,qlearn,minmax@5,O,X,B,X,31,11.012247,0.355234
qlearn_vs_minmax@5,167,A,qlearn,minmax@5,X,O,B,O,18,11.113130,0.617396
qlearn_vs_minmax@5,168,B,qlearn,minmax@5,O,X,B,X,21,9.948293,0.473728
qlearn_vs_minmax@5,169,A,qlearn,minmax@5,X,O,B,O,20,9.615380,0.480769
qlearn_vs_minmax@5,170,B,qlearn,minmax@5,O,X,B,X,17,7.947237,0.467485
qlearn_vs_minmax@5,171,A,qlearn,minmax@5,X,O,A,X,15,7.586461,0.505764
qlearn_vs_minmax@5,172,B,qlearn,minmax@5,O,X,A,O,22,9.619799,0.437264
qlearn_vs_minmax@5,173,A,qlearn,minmax@5,X,O,A,X,19,10.824394,0.569705
qlearn_vs_minmax@5,174,B,qlearn,minmax@5,O,X,B,X,19,8.438169,0.444114
qlearn_vs_minmax@5,175,A,qlearn,minmax@5,X,O,B,O,18,8.960031,0.497780
qlearn_vs_minmax@5,176,B,qlearn,minmax@5,O,X,A,O,22,9.280289,0.421831
qlearn_vs_minmax@5,177,A,qlearn,minmax@5,X,O,A,X,23,10.303726,0.447988
qlearn_vs_minmax@5,178,B,qlearn,minmax@5,O,X,B,X,15,7.273836,0.484922
qlearn_vs_minmax@5,179,A,qlearn,minmax@5,X,O,B,O,20,9.942203,0.497110
qlearn_vs_minmax@5,180,B,qlearn,minmax@5,O,X,B,X,21,11.159511,0.531405
qlearn_vs_minmax@5,181,A,qlearn,minmax@5,X,O,A,X,19,8.717496,0.458816
qlearn_vs_minmax@5,182,B,qlearn,minmax@5,O,X,B,X,27,11.009726,0.407768
qlearn_vs_minmax@5,183,A,qlearn,minmax@5,X,O,B,O,18,8.457621,0.469868
qlearn_vs_minmax@5,184,B,qlearn,minmax@5,O,X,B,X,17,8.633785,0.507870
qlearn_vs_minmax@5,185,A,qlearn,minmax@5,X,O,A,X,19,9.202857,0.484361
qlearn_vs_minmax@5,186,B,qlearn,minmax@5,O,X,B,X,21,8.957711,0.426558
qlearn_vs_minmax@5,187,A,qlearn,minmax@5,X,O,A,X,19,10.038751,0.528355
qlearn_vs_minmax@5,188,B,qlearn,minmax@5,O,X,B,X,27,11.472679,0.424914
qlearn_vs_minmax@5,189,A,qlearn,minmax@5,X,O,B,O,28,13.654528,0.487662
qlearn_vs_minmax@5,190,B,qlearn,minmax@5,O,X,B,X,19,9.136730,0.480881
qlearn_vs_minmax@5,191,A,qlearn,minmax@5,X,O,A,X,35,14.404071,0.411545
qlearn_vs_minmax@5,192,B,qlearn,minmax@5,O,X,B,X,23,11.740389,0.510452
qlearn_vs_minmax@5,193,A,qlearn,minmax@5,X,O,B,O,16,8.216734,0.513546
qlearn_vs_minmax@5,194,B,qlearn,minmax@5,O,X,A,O,14,7.696510,0.549751
qlearn_vs_minmax@5,195,A,qlearn,minmax@5,X,O,B,O,28,13.666525,0.488090
qlearn_vs_minmax@5,196,B,qlearn,minmax@5,O,X,B,X,21,8.725993,0.415523
qlearn_vs_minmax@5,197,A,qlearn,minmax@5,X,O,B,O,20,9.660256,0.483013
qlearn_vs_minmax@5,198,B,qlearn,minmax@5,O,X,B,X,27,9.187448,0.340276
qlearn_vs_minmax@5,199,A,qlearn,minmax@5,X,O,A,X,17,9.058027,0.532825
qlearn_vs_minmax@5,200,B,qlearn,minmax@5,O,X,B,X,15,7.761222,0.517415
